File Path,Label
D:\deepfake-detector\data\frames\real\331\331_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\764_850\764_850_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\499_539\499_539_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\103_082\103_082_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\005\005_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\627\627_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\027\027_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\268\268_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\697_581\697_581_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\618\618_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\004\004_frame1.jpg,REAL
D:\deepfake-detector\data\frames\real\293\293_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\399\399_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\404\404_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\566_617\566_617_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\860\860_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\608_675\608_675_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\152_149\152_149_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\828\828_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\279\279_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\213\213_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\159_175\159_175_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\551_631\551_631_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\fake\708_772\708_772_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\856\856_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\279_298\279_298_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\476\476_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\739_865\739_865_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\456_435\456_435_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\115_939\115_939_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\833_826\833_826_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\560\560_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\503_756\503_756_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\real\367\367_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\596\596_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\709\709_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\406\406_frame8.jpg,REAL
D:\deepfake-detector\data\frames\fake\263_284\263_284_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\526\526_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\004_982\004_982_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\817_827\817_827_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\698_693\698_693_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\886\886_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\475_265\475_265_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\413\413_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\351_346\351_346_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\036_035\036_035_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\real\853\853_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\799\799_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\354_362\354_362_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\837\837_frame6.jpg,REAL
D:\deepfake-detector\data\frames\fake\520_542\520_542_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\110\110_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\932\932_frame6.jpg,REAL
D:\deepfake-detector\data\frames\fake\365_307\365_307_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\508_831\508_831_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\978_975\978_975_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\305_513\305_513_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\916_783\916_783_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\fake\410_411\410_411_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\294_292\294_292_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\949_868\949_868_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\458\458_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\473_366\473_366_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\382_409\382_409_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\113\113_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\904_046\904_046_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\433_498\433_498_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\280\280_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\153\153_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\439_441\439_441_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\fake\801_855\801_855_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\493\493_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\566\566_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\312_021\312_021_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\553\553_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\835\835_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\983_113\983_113_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\122\122_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\501\501_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\753_789\753_789_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\361_448\361_448_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\893\893_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\522\522_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\340_341\340_341_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\172\172_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\625_650\625_650_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\723\723_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\428\428_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\996\996_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\868\868_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\183_253\183_253_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\fake\158_379\158_379_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\450\450_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\617\617_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\255_214\255_214_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\164\164_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\017\017_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\483\483_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\909\909_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\731_741\731_741_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\468\468_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\175\175_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\406_391\406_391_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\483_370\483_370_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\fake\134_192\134_192_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\760\760_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\800\800_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\699\699_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\481\481_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\284\284_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\914\914_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\589_565\589_565_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\620\620_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\683\683_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\802\802_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\150_153\150_153_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\085_124\085_124_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\433_498\433_498_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\982\982_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\722\722_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\068\068_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\166_167\166_167_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\664\664_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\554\554_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\387\387_frame7.jpg,REAL
D:\deepfake-detector\data\frames\fake\806_781\806_781_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\250\250_frame8.jpg,REAL
D:\deepfake-detector\data\frames\fake\265_475\265_475_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\925\925_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\078_955\078_955_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\001\001_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\969\969_frame7.jpg,REAL
D:\deepfake-detector\data\frames\fake\594_530\594_530_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\990\990_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\438\438_frame1.jpg,REAL
D:\deepfake-detector\data\frames\real\445\445_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\841\841_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\443\443_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\580_524\580_524_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\686_696\686_696_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\fake\270_297\270_297_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\453\453_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\597\597_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\973_970\973_970_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\421_423\421_423_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\078\078_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\802_885\802_885_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\324_356\324_356_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\086_090\086_090_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\347\347_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\374\374_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\670\670_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\921\921_frame7.jpg,REAL
D:\deepfake-detector\data\frames\fake\197_224\197_224_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\819_786\819_786_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\097\097_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\983\983_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\423_421\423_421_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\185\185_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\044_945\044_945_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\838\838_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\539\539_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\777_745\777_745_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\789_753\789_753_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\fake\559_543\559_543_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\fake\377_333\377_333_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\fake\371_367\371_367_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\268_269\268_269_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\fake\051_332\051_332_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\792_903\792_903_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\326_501\326_501_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\670\670_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\790_014\790_014_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\017_803\017_803_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\400\400_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\999\999_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\033\033_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\098\098_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\256\256_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\024_073\024_073_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\829_808\829_808_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\241\241_frame6.jpg,REAL
D:\deepfake-detector\data\frames\fake\382_409\382_409_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\236_237\236_237_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\457_398\457_398_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\fake\792_903\792_903_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\826_833\826_833_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\567_606\567_606_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\747_854\747_854_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\667_446\667_446_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\121_093\121_093_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\761_766\761_766_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\292_294\292_294_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\012_026\012_026_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\fake\490_534\490_534_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\727\727_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\411\411_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\431\431_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\500\500_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\878\878_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\225_151\225_151_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\498_433\498_433_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\890\890_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\146\146_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\209\209_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\212_179\212_179_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\630\630_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\132_007\132_007_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\911_910\911_910_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\fake\261_254\261_254_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\266\266_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\393_405\393_405_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\255_214\255_214_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\160_928\160_928_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\396_272\396_272_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\454_527\454_527_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\512_495\512_495_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\186_170\186_170_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\609\609_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\127\127_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\931\931_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\617\617_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\583_558\583_558_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\003_000\003_000_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\245_157\245_157_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\667_446\667_446_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\422_695\422_695_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\733\733_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\391_406\391_406_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\621_546\621_546_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\006\006_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\196_310\196_310_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\081_087\081_087_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\386\386_frame6.jpg,REAL
D:\deepfake-detector\data\frames\fake\012_026\012_026_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\966\966_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\746_571\746_571_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\783_916\783_916_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\567_606\567_606_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\858_861\858_861_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\049_946\049_946_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\767\767_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\206\206_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\858\858_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\010\010_frame8.jpg,REAL
D:\deepfake-detector\data\frames\fake\985_981\985_981_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\171\171_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\329_327\329_327_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\real\343\343_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\146\146_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\787_782\787_782_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\643_646\643_646_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\723_704\723_704_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\755_759\755_759_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\415_484\415_484_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\210_241\210_241_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\fake\579_701\579_701_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\269_268\269_268_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\337\337_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\960_999\960_999_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\693_698\693_698_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\295_099\295_099_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\709\709_frame3.jpg,REAL
D:\deepfake-detector\data\frames\fake\745_777\745_777_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\907\907_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\092\092_frame1.jpg,REAL
D:\deepfake-detector\data\frames\real\994\994_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\187\187_frame6.jpg,REAL
D:\deepfake-detector\data\frames\fake\930_763\930_763_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\354\354_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\259_345\259_345_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\408\408_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\593\593_frame7.jpg,REAL
D:\deepfake-detector\data\frames\fake\236_237\236_237_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\340\340_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\713\713_frame0.jpg,REAL
D:\deepfake-detector\data\frames\fake\517_521\517_521_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\017_803\017_803_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\727_729\727_729_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\132_007\132_007_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\855\855_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\327\327_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\057_070\057_070_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\516_555\516_555_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\471\471_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\430_459\430_459_frame6.jpg,FAKE
